HiRISKDB_ID,Name,Type,Category,Latitude,Longitude,min Elevation,Elevation,max Elevation,Country,Data owner/Data manager,Manager email,Data Access Quality,Data Access (URL),Data Publication,Activity,Physical Variables,Socioeconomic dimensions,Hazard data,Start Date,End Date,Temporal frequency (highest)
BT_1_00008,Gunitsawa,Single,Climate,27.598314,89.288542,,2869,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00009,Pangbisa,Single,Climate,27.34614,89.43711,,2700,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00010,Tsimalakha,Single,Climate,27.085423,89.541857,,2280,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00011,Gedu,Single,Climate,26.923893,89.524852,,1940,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00012,Malbase,Single,Climate,26.857904,89.445618,,420,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00013,Kamji,Single,Climate,26.887355,89.455638,,1420,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00014,CST,Single,Climate,26.858875,89.386111,,260,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00015,Tala,Single,Climate,26.87099,89.581229,,1600,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00016,Bjeezima,Single,Climate,27.419073,89.554441,,2400,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00017,Babesa,Single,Climate,27.434251,89.653885,,2300,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00018,Hongtsho,Single,Climate,27.437474,89.675088,,2330,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00019,Kuzhugchen,Single,Climate,27.559409,89.652812,,2502,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00020,Lingzhi,Single,Climate,27.857921,89.442525,,3900,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00021,Geu,Single,Climate,27.850014,89.400587,,4200,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00022,Laya,Single,Climate,28.062861,89.682396,,3864,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00023,Gasa,Single,Climate,27.902277,89.730756,,2690,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00024,Punakha,Single,Climate,27.585013,89.864685,,1230,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00025,Thinleygang,Single,Climate,27.525204,89.804502,,1860,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00026,Lobesa,Single,Climate,27.508842,89.871699,,1460,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00027,Bajo,Single,Climate,27.485155,89.899709,,1300,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00028,Gaselo,Single,Climate,27.420368,89.903802,,1200,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00029,Metatshetho,Single,Climate,27.882976,90.280574,,5000,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00030,Pele La,Single,Climate,27.536462,90.202063,,3440,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00031,Phobjikha,Single,Climate,27.44408,90.178136,,2950,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00032,Dagana,Single,Climate,27.069713,89.882347,,1540,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00033,Karmaling,Single,Climate,26.762534,89.913431,,150,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00034,Dagapela,Single,Climate,26.940285,89.922645,,1590,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00035,Tshangkha,Single,Climate,27.042327,90.036644,,1380,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00036,Damphu,Single,Climate,27.005689,90.123551,,1590,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00037,Medrelgang,Single,Climate,26.951348,90.132735,,1420,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00038,Medrelgang,Single,Climate,26.863869,90.266429,,360,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00039,Bhurgaon,Single,Climate,26.924653,90.401821,,530,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00040,Chuzergang,Single,Climate,26.870334,90.493916,,220,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00041,Jigmecholing,Single,Climate,27.004504,90.553327,,1250,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00042,Maogaon,Single,Climate,27.032919,90.396541,,1300,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00043,Tongtongphay,Single,Climate,27.339729,90.581961,,1100,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00044,Dorji Goempa,Single,Climate,27.505699,90.538752,,2870,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00045,Trongsa,Single,Climate,27.505699,90.538752,,2870,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00046,Tshangkha,Single,Climate,27.463786,90.462153,,2330,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00047,Simphu,Single,Climate,27.602683,90.418428,,2726,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_2_00001,Thana,Network,"Climate, Cryosphere",28.009127,90.617391,,5200,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W, MB",NA,NA,2019,2021,hourly
BT_1_00048,Dhur,Single,Climate,27.612179,90.673712,,2760,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00049,Tang,Single,Climate,27.557221,90.804486,,2830,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00050,Chamkhar,Single,Climate,27.546767,90.754476,,2570,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00051,Ura,Single,Climate,27.478714,90.905354,,3180,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00052,Zhemgang,Single,Climate,27.142475,90.689683,,580,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00053,Buli,Single,Climate,27.16637,90.819933,,1720,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00054,Khomshar,Single,Climate,27.13433,90.944918,,1340,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00055,Sonamthang,Single,Climate,26.852635,90.98057,,290,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00056,Dungkhar,Single,Climate,27.825795,91.114345,,2040,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00057,Tangmachhu,Single,Climate,27.603226,91.182251,,2021,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00058,Ladrong,Single,Climate,27.455287,91.11978,,2000,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
BT_1_00059,Thrumshing La,Single,Climate,27.401712,90.995053,,3740,,Bhutan,,hod@nchm.gov.bt,AVAILABLE,https://www.nchm.gov.bt/attachment/ckfinder/userfiles/files/Guidelines%20on%20Data%20Sharing%20%20(1).pdf,,Active,"T, P, RH, W",NA,NA,,2021,hourly
